Date,Monthly Rainfall,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Season
22-Oct-16,90,Nashik,Yeola,Soyabean,2775,2780,2775,Post-Monsoon
10-Nov-16,0,Nashik,Yeola,Soyabean,2781,2781,2781,Post-Monsoon
21-Nov-16,0,Nashik,Yeola,Soyabean,2775,2850,2800,Post-Monsoon
23-Nov-16,0,Nashik,Yeola,Soyabean,2781,2781,2781,Post-Monsoon
24-Nov-16,0,Nashik,Yeola,Soyabean,2775,2780,2775,Post-Monsoon
30-Nov-16,0,Nashik,Yeola,Soyabean,2775,2800,2780,Post-Monsoon
01-Dec-16,0,Nashik,Yeola,Soyabean,2782,2888,2830,Winter
05-Dec-16,0,Nashik,Yeola,Soyabean,2775,3038,2775,Winter
07-Dec-16,0,Nashik,Yeola,Soyabean,2775,2820,2780,Winter
08-Dec-16,0,Nashik,Yeola,Soyabean,2770,2800,2770,Winter
09-Dec-16,0,Nashik,Yeola,Soyabean,2700,2773,2727,Winter
10-Dec-16,0,Nashik,Yeola,Soyabean,2775,2790,2781,Winter
14-Dec-16,0,Nashik,Yeola,Soyabean,2781,2811,2800,Winter
15-Dec-16,0,Nashik,Yeola,Soyabean,2782,2790,2782,Winter
16-Dec-16,0,Nashik,Yeola,Soyabean,2852,2862,2852,Winter
17-Dec-16,0,Nashik,Yeola,Soyabean,2785,2842,2830,Winter
19-Dec-16,0,Nashik,Yeola,Soyabean,2775,2814,2800,Winter
21-Dec-16,0,Nashik,Yeola,Soyabean,1900,2727,2675,Winter
22-Dec-16,0,Nashik,Yeola,Soyabean,2675,2771,2699,Winter
30-Dec-16,0,Nashik,Yeola,Soyabean,2775,2818,2800,Winter
06-Jan-17,0,Nashik,Yeola,Soyabean,2828,2828,2828,Winter
09-Jan-17,0,Nashik,Yeola,Soyabean,2799,2799,2799,Winter
11-Jan-17,0,Nashik,Yeola,Soyabean,2790,2790,2790,Winter
12-Jan-17,0,Nashik,Yeola,Soyabean,2775,2784,2780,Winter
16-Jan-17,0,Nashik,Yeola,Soyabean,2775,2780,2775,Winter
18-Jan-17,0,Nashik,Yeola,Soyabean,2781,2888,2851,Winter
23-Jan-17,0,Nashik,Yeola,Soyabean,2775,2783,2781,Winter
25-Jan-17,0,Nashik,Yeola,Soyabean,2780,2780,2780,Winter
30-Jan-17,0,Nashik,Yeola,Soyabean,2200,2733,2725,Winter
06-Feb-17,0,Nashik,Yeola,Soyabean,2401,2745,2640,Winter
10-Feb-17,0,Nashik,Yeola,Soyabean,2471,2700,2689,Winter
13-Feb-17,0,Nashik,Yeola,Soyabean,2001,2706,2675,Winter
16-Feb-17,0,Nashik,Yeola,Soyabean,2701,2720,2705,Winter
17-Feb-17,0,Nashik,Yeola,Soyabean,2700,2720,2705,Winter
25-Feb-17,0,Nashik,Yeola,Soyabean,2600,2728,2714,Winter
27-Feb-17,0,Nashik,Yeola,Soyabean,2551,2727,2701,Winter
03-Mar-17,0,Nashik,Yeola,Soyabean,2700,2751,2743,Summer
06-Mar-17,0,Nashik,Yeola,Soyabean,2527,2676,2637,Summer
08-Mar-17,0,Nashik,Yeola,Soyabean,2500,2745,2655,Summer
10-Mar-17,0,Nashik,Yeola,Soyabean,2501,2734,2501,Summer
16-Mar-17,0,Nashik,Yeola,Soyabean,2600,2727,2712,Summer
20-Mar-17,0,Nashik,Yeola,Soyabean,2775,2790,2775,Summer
05-Apr-17,0,Nashik,Yeola,Soyabean,2775,2800,2775,Summer
10-Apr-17,0,Nashik,Yeola,Soyabean,2729,2751,2729,Summer
12-Apr-17,0,Nashik,Yeola,Soyabean,2775,2783,2775,Summer
15-Apr-17,0,Nashik,Yeola,Soyabean,2780,2799,2786,Summer
19-Apr-17,0,Nashik,Yeola,Soyabean,2800,2815,2800,Summer
24-Apr-17,0,Nashik,Yeola,Soyabean,2775,2834,2828,Summer
27-Apr-17,0,Nashik,Yeola,Soyabean,2801,2801,2801,Summer
06-May-17,0,Nashik,Yeola,Soyabean,2747,2747,2747,Summer
08-May-17,0,Nashik,Yeola,Soyabean,2700,2790,2750,Summer
10-May-17,0,Nashik,Yeola,Soyabean,2639,2751,2726,Summer
11-May-17,0,Nashik,Yeola,Soyabean,2637,2645,2645,Summer
12-May-17,0,Nashik,Yeola,Soyabean,2671,2718,2686,Summer
13-May-17,0,Nashik,Yeola,Soyabean,2727,2727,2727,Summer
17-May-17,0,Nashik,Yeola,Soyabean,2625,2699,2650,Summer
19-May-17,0,Nashik,Yeola,Soyabean,2100,2700,2600,Summer
20-May-17,0,Nashik,Yeola,Soyabean,2200,2699,2600,Summer
26-May-17,0,Nashik,Yeola,Soyabean,2641,2641,2641,Summer
29-May-17,0,Nashik,Yeola,Soyabean,2625,2635,2625,Summer
31-May-17,0,Nashik,Yeola,Soyabean,2100,2562,2331,Summer
10-Jun-17,89.2,Nashik,Yeola,Soyabean,2466,2691,2574,Monsoon
12-Jun-17,89.2,Nashik,Yeola,Soyabean,2400,2651,2642,Monsoon
16-Jun-17,89.2,Nashik,Yeola,Soyabean,2775,2775,2775,Monsoon
19-Jun-17,89.2,Nashik,Yeola,Soyabean,2645,2668,2660,Monsoon
28-Jun-17,89.2,Nashik,Yeola,Soyabean,2301,2621,2579,Monsoon
01-Jul-17,108.2,Nashik,Yeola,Soyabean,2675,2700,2700,Monsoon
06-Jul-17,108.2,Nashik,Yeola,Soyabean,2773,2773,2773,Monsoon
07-Jul-17,108.2,Nashik,Yeola,Soyabean,2751,2771,2771,Monsoon
17-Jul-17,108.2,Nashik,Yeola,Soyabean,2769,2776,2776,Monsoon
31-Jul-17,108.2,Nashik,Yeola,Soyabean,2773,2800,2775,Monsoon
04-Aug-17,98.6,Nashik,Yeola,Soyabean,2759,2759,2759,Monsoon
10-Aug-17,98.6,Nashik,Yeola,Soyabean,2775,2775,2775,Monsoon
23-Aug-17,98.6,Nashik,Yeola,Soyabean,2800,3100,2951,Monsoon
31-Aug-17,98.6,Nashik,Yeola,Soyabean,2875,2955,2875,Monsoon
04-Sep-17,95.7,Nashik,Yeola,Soyabean,2775,2910,2800,Monsoon
06-Sep-17,95.7,Nashik,Yeola,Soyabean,2900,2916,2900,Monsoon
27-Sep-17,95.7,Nashik,Yeola,Soyabean,2782,2785,2782,Monsoon
04-Oct-17,91,Nashik,Yeola,Soyabean,2775,2780,2775,Post-Monsoon
05-Oct-17,91,Nashik,Yeola,Soyabean,3051,3079,3065,Post-Monsoon
06-Oct-17,91,Nashik,Yeola,Soyabean,3055,3060,3058,Post-Monsoon
07-Oct-17,91,Nashik,Yeola,Soyabean,3051,3081,3077,Post-Monsoon
09-Oct-17,91,Nashik,Yeola,Soyabean,3000,3048,3025,Post-Monsoon
11-Oct-17,91,Nashik,Yeola,Soyabean,3050,3058,3050,Post-Monsoon
12-Oct-17,91,Nashik,Yeola,Soyabean,3055,3062,3060,Post-Monsoon
14-Oct-17,91,Nashik,Yeola,Soyabean,3055,3099,3070,Post-Monsoon
23-Oct-17,91,Nashik,Yeola,Soyabean,3052,3064,3058,Post-Monsoon
26-Oct-17,91,Nashik,Yeola,Soyabean,3050,3125,3100,Post-Monsoon
28-Oct-17,91,Nashik,Yeola,Soyabean,3060,3125,3100,Post-Monsoon
30-Oct-17,91,Nashik,Yeola,Soyabean,3050,3125,3100,Post-Monsoon
01-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3100,3075,Post-Monsoon
02-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3125,3100,Post-Monsoon
03-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3150,3100,Post-Monsoon
04-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3100,3075,Post-Monsoon
06-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3160,3070,Post-Monsoon
08-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3080,3055,Post-Monsoon
09-Nov-17,1.2,Nashik,Yeola,Soyabean,3055,3102,3075,Post-Monsoon
13-Nov-17,1.2,Nashik,Yeola,Soyabean,3057,3080,3060,Post-Monsoon
16-Nov-17,1.2,Nashik,Yeola,Soyabean,3055,3064,3055,Post-Monsoon
17-Nov-17,1.2,Nashik,Yeola,Soyabean,3055,3061,3058,Post-Monsoon
22-Nov-17,1.2,Nashik,Yeola,Soyabean,3055,3055,3055,Post-Monsoon
23-Nov-17,1.2,Nashik,Yeola,Soyabean,3052,3052,3052,Post-Monsoon
24-Nov-17,1.2,Nashik,Yeola,Soyabean,3051,3061,3051,Post-Monsoon
25-Nov-17,1.2,Nashik,Yeola,Soyabean,3061,3081,3061,Post-Monsoon
27-Nov-17,1.2,Nashik,Yeola,Soyabean,3054,3060,3055,Post-Monsoon
29-Nov-17,1.2,Nashik,Yeola,Soyabean,3050,3055,3050,Post-Monsoon
30-Nov-17,1.2,Nashik,Yeola,Soyabean,3053,3061,3055,Post-Monsoon
02-Dec-17,3.6,Nashik,Yeola,Soyabean,3053,3057,3055,Winter
04-Dec-17,3.6,Nashik,Yeola,Soyabean,3057,3061,3060,Winter
06-Dec-17,3.6,Nashik,Yeola,Soyabean,2600,2893,2700,Winter
09-Dec-17,3.6,Nashik,Yeola,Soyabean,3059,3063,3059,Winter
13-Dec-17,3.6,Nashik,Yeola,Soyabean,2503,2975,2877,Winter
14-Dec-17,3.6,Nashik,Yeola,Soyabean,3065,3066,3066,Winter
15-Dec-17,3.6,Nashik,Yeola,Soyabean,3059,3059,3059,Winter
18-Dec-17,3.6,Nashik,Yeola,Soyabean,3054,3076,3076,Winter
20-Dec-17,3.6,Nashik,Yeola,Soyabean,3051,3061,3055,Winter
23-Dec-17,3.6,Nashik,Yeola,Soyabean,3057,3060,3057,Winter
27-Dec-17,3.6,Nashik,Yeola,Soyabean,3051,3086,3058,Winter
28-Dec-17,3.6,Nashik,Yeola,Soyabean,3054,3090,3060,Winter
29-Dec-17,3.6,Nashik,Yeola,Soyabean,3056,3060,3056,Winter
30-Dec-17,3.6,Nashik,Yeola,Soyabean,2875,2950,2875,Winter
01-Jan-18,0,Nashik,Yeola,Soyabean,3051,3061,3058,Winter
03-Jan-18,0,Nashik,Yeola,Soyabean,2500,2939,2800,Winter
04-Jan-18,0,Nashik,Yeola,Soyabean,3054,3070,3062,Winter
